Episode,Reward,Entropy,Alpha,Loss
0,-758.9837406321384,0.00039350986,0.13093907,
1,-253.27358126456755,0.26737535,0.080338046,
2,-107.72457139392982,0.2426598,0.03934305,
3,8.686202652121509,0.02768907,-0.0076538976,
4,-245.55797893511627,-0.042616904,-0.04323724,
