Episode,Reward,Entropy,Alpha,Loss
0,-170.31246703179605,0.6064737,0.059417672,
1,-468.4703633524235,0.0006580353,0.01238193,
2,-2209.276929915085,1.0,-0.08817877,
3,-151.365389439019,0.6656812,-0.14035635,
4,-290.0768383330089,0.018096536,-0.3200041,
