Episode,Reward,Entropy,Alpha,Loss
0,-427.8917400654627,0.2758024,-0.014169481,
1,-263.28498618380894,0.14010102,-0.16876069,
2,-376.10981949762186,0.018544428,-0.2793201,
3,-545.5161389375696,-0.8981724,-0.4119647,
4,-121.4024373626274,-0.94067895,-0.49875155,
