Episode,Reward,Entropy,Alpha,Loss
0,-318.7908013645242,0.9999949,0.24888687,
1,-504.34007566578157,0.99999475,0.21878855,
2,-352.7608119034373,0.77730274,0.19605753,
3,-598.5113227569957,-0.7359214,0.18005764,
4,-1309.954939068589,-0.83485055,0.14299549,
