Episode,Reward,Entropy,Alpha,Loss
0,-94.7331507516429,0.001324892,0.20422733,
1,-105.58249861763538,6.318092e-05,0.1559432,
2,-132.59775794822502,-0.0,0.114588514,
3,-105.63130126287892,0.0049210787,0.08519127,
4,-151.11686678892886,0.91612136,0.0606186,
