Episode,Reward,Entropy,Alpha,Loss
0,-275.80260759019814,0.46877494,0.21171756,
1,-520.8230419546121,-0.53289455,0.04185723,
2,-362.4214118105616,-0.9744743,-0.07442299,
3,-120.40750655470792,0.7091253,-0.23767461,
4,-326.5057639917715,0.2733215,-0.3326379,
